HOST_ID,TYPE,CITY,REVIEWS,RATING,GUESTS,ROOMS,PRICE,LAT,LONG,NAME
25505882,Entire home/apt,Lexington,8,5,2,1,95,38.029572,-84.489849,New Studio in Trendy Neighborhood Near UK/Downtown
82070062,Entire home/apt,Lexington,0,0,6,4,290,38.029636,-84.477573,Spacious home next to historic park/downtown
45295151,Private room,Lexington,13,5,2,1,75,38.029686,-84.475454,Ashland Estate in Kenwick
90857838,Private room,Lexington,0,0,2,1,70,38.029893,-84.494379,"Close, Convenient, and Cozy Room"
44300008,Entire home/apt,Lexington,0,0,10,5,1200,38.030303,-84.485052,"Heart of Lexington, Ashland Park!"
18205583,Entire home/apt,Lexington,52,5,4,2,95,38.030392,-84.529359,"Clean, comfy and convenient"
16975028,Private room,Lexington,1,0,3,1,145,38.030419,-84.481544,Ashland Park House
29069894,Entire home/apt,Lexington,0,0,6,4,650,38.030669,-84.471558,Featured on House Hunters
16975028,Entire home/apt,Lexington,4,5,6,2,250,38.030684,-84.482471,Ashland Park house
43204093,Entire home/apt,Lexington,0,0,4,2,400,38.030888,-84.471858,Home on Henry Clay Boulevard
46501868,Entire home/apt,Lexington,1,0,5,2,165,38.031145,-84.474438,Kenwick Bungalow
64149437,Entire home/apt,Lexington,2,0,3,2,160,38.031967,-84.48064,"Bungalow Close to Downtown, Kenwick Neighborhood"
7466587,Private room,Lexington,45,5,2,1,40,38.032232,-84.494495,Private Bed w/ Private Bath (Queen) (R2)
44668238,Private room,Lexington,0,0,2,1,245,38.032312,-84.564287,Country French Home - Breeders' Cup
7466587,Private room,Lexington,33,5,2,1,40,38.032485,-84.494425,Private Bed w/ Private Bath (Queen) (R1)
7466587,Entire home/apt,Lexington,48,4.5,10,4,250,38.032639,-84.49311,Charming 4 Bedroom in Downtown Lex (WH)
36017911,Entire home/apt,Lexington,16,5,5,2,160,38.032715,-84.488934,"""Clay Cottage"" by Woodland Park- AWESOME location"
7466587,Private room,Lexington,16,4.5,2,1,40,38.032923,-84.493832,Private Room w/ Prv. Shower (Queen) (R4)
42923999,Entire home/apt,Lexington,0,0,6,3,759,38.033092,-84.489636,Charming home in downtown Lexington
38945922,Entire home/apt,Lexington,0,0,6,3,695,38.0332,-84.46578,Cape Cod home in Lexington
106151032,Entire home/apt,Lexington,0,0,4,1,90,38.033268,-84.557923,The Georgian in Lexington Kentucky
9841308,Entire home/apt,Lexington,27,5,4,2,150,38.033372,-84.473855,"The Lexington ""Cabin"""
39391319,Entire home/apt,Lexington,4,4.5,2,1,32,38.033517,-84.516645,Modern apartment near downtown/UK
80113951,Private room,Lexington,11,5,2,1,30,38.033867,-84.541567,Great home close to everything!
82311784,Entire home/apt,Lexington,5,5,2,0,46,38.034144,-84.518352,Luxury Brand New Suite in Downtown/UK Campus Area
7466587,Private room,Lexington,47,5,2,1,40,38.034224,-84.493974,Private Room w/ Share Bath (2xTwin) (R3)
34999613,Private room,Lexington,42,5,2,1,80,38.034234,-84.479381,Historic neighborhood-Master suite
105337153,Private room,Lexington,0,0,2,1,50,38.034297,-84.461138,"Clean, single short-stay bedroom/bath"
84334061,Entire home/apt,Lexington,12,5,3,1,69,38.034318,-84.467142,Cozy 1 bedroom close to downtown
113523418,Entire home/apt,Lexington,0,0,4,2,161,38.034497,-84.492285,Woodland Park Overlook
3124985,Entire home/apt,Lexington,1,0,5,2,165,38.034612,-84.476907,Adorable 1920's Bungalow
6969443,Entire home/apt,Lexington,11,5,8,3,449,38.034709,-84.549959,"Gorgeous Home, PERFECT Location!"
34999613,Entire home/apt,Lexington,1,0,6,3,800,38.035301,-84.479247,Historic home near downtown
96851253,Entire home/apt,Lexington,2,0,5,2,69,38.035317,-84.489158,My Woodland Park - University of Kentucky Pad #23
96851253,Entire home/apt,Lexington,11,5,2,1,69,38.03551,-84.488371,My Downtown Lexington / University of Kentucky #09
34999613,Private room,Lexington,35,5,2,1,70,38.035512,-84.479833,Historic Home-private room and bath
52114377,Private room,Lexington,23,5,1,1,43,38.035648,-84.514442,Campus down PrivateRoom&PrivateBath
52114377,Private room,Lexington,1,0,4,2,100,38.035925,-84.516202,Two private rooms and bath OnCampus
33565474,Entire home/apt,Lexington,0,0,6,3,1000,38.036308,-84.49011,3BR Townhome for Breeders Cup
39821961,Entire home/apt,Lexington,59,5,2,0,39,38.036321,-84.480017,Mentelle Park Guest House
18558911,Entire home/apt,Lexington,1,0,6,2,275,38.036435,-84.487848,Entertainer's Delight
44739046,Entire home/apt,Lexington,3,4.5,10,4,245,38.036573,-84.496196,Casa Verde -  Artist's Bungalow Downtown
53228418,Entire home/apt,Lexington,17,5,5,2,80,38.037176,-84.463924,Cute 2Bedroom Minutes from Downtown
47662784,Entire home/apt,Lexington,0,0,6,2,600,38.037178,-84.540256,Cozy home 2 BR 2 BA near Keeneland
66052835,Entire home/apt,Lexington,13,5,5,1,89,38.0372,-84.486699,Great Main Street Apt Downtown Lex!
34191256,Private room,Lexington,3,5,2,1,45,38.037229,-84.521304,Cute private room and bathroom!
41764305,Entire home/apt,Lexington,0,0,6,2,200,38.037383,-84.47943,nice house;est. neighborhood 2 mi.
33067822,Private room,Lexington,4,5,2,1,125,38.037507,-84.366539,Contemporary Rural Retreat
32166317,Entire home/apt,Lexington,13,5,2,1,75,38.037687,-84.49568,"Spacious, private 1Bd between UK campus & Downtown"
32166317,Entire home/apt,Lexington,17,5,5,2,75,38.037702,-84.495149,Charming 2 Bedroom Apartment
32166317,Entire home/apt,Lexington,91,5,5,2,75,38.037776,-84.495232,Newly remodeled 2 bedroom apartment
63790379,Private room,Lexington,6,5,4,1,60,38.037777,-84.474423,The Walnut Room
2242410,Entire home/apt,Lexington,37,5,4,2,85,38.037853,-84.459412,"Purple Door, Tiny House"
71203464,Entire home/apt,Lexington,2,0,6,2,88,38.037873,-84.490825,A quaint townhouse near downtown with two bedrooms
33067822,Private room,Lexington,1,0,2,1,60,38.03792,-84.366916,Quaint & Quiet with Pleasant View
13740825,Private room,Lexington,3,5,4,1,150,38.037946,-84.476826,Eclectic In Lex-2br/1ba downtown
23632493,Entire home/apt,Lexington,75,5,3,1,50,38.038165,-84.49409,Transylvania Park Private Suite/UK
5050541,Entire home/apt,Lexington,19,5,8,4,135,38.038221,-84.520869,Charming Four Bedroom Cape Cod
39815175,Entire home/apt,Lexington,54,5,6,3,62,38.038605,-84.484184,Entire open spacious home.
669799,Entire home/apt,Lexington,38,5,3,1,89,38.038665,-84.489846,Cute carriage house near downtown!
669799,Entire home/apt,Lexington,33,5,6,2,115,38.038851,-84.4915,The White House - close to downtown
66052835,Entire home/apt,Lexington,8,4.5,6,1,99,38.039005,-84.487383,Historic Main St. Gorgeous Apt!
17591879,Private room,Lexington,33,5,2,1,85,38.03927,-84.492526,Near UK campus/ Lex downtown
48960752,Private room,Lexington,23,4.5,2,1,45,38.039376,-84.519474,Spacious Bedroom Near Downtown/UK Campus
22417860,Entire home/apt,Lexington,21,5,4,1,95,38.039426,-84.489556,Historic Clay Villa - Apt 1202
43603865,Private room,Lexington,4,5,4,2,75,38.039706,-84.539968,"Charming 3BD home, 2BD available!"
34221329,Private room,Lexington,1,0,2,1,80,38.039788,-84.511503,Efficient housing near UK Campus
45364044,Entire home/apt,Lexington,0,0,4,1,400,38.039858,-84.441883,1 bedroom apartment near i 75
32081355,Entire home/apt,Lexington,1,0,6,3,1000,38.039862,-84.563423,"Cozy, Peaceful Home Rental"
1537532,Entire home/apt,Lexington,0,0,4,3,175,38.039868,-84.492984,Entire 1920s Bungalow Near Downtown/UK
5341075,Private room,Lexington,14,5,4,1,34,38.040152,-84.559056,Welcome Equestrians and UK Sports Fans
39815175,Entire home/apt,Lexington,124,5,2,1,28,38.040474,-84.499578,UK/downtown flat 8
25968111,Entire home/apt,Lexington,4,4.5,4,2,45,38.040502,-84.551019,Cozy 2 bedroom near Keeneland
22417860,Entire home/apt,Lexington,46,5,4,1,95,38.04054,-84.489493,Historic 1845 Clay Villa Apt 1201
39815175,Entire home/apt,Lexington,48,4.5,2,1,35,38.040642,-84.495784,UK/Downtown getaway 4
29784006,Private room,Lexington,4,5,2,1,45,38.040805,-84.44214,Private Room 10 min from Downtown
