HOST_ID,TYPE,CITY,REVIEWS,RATING,GUESTS,ROOMS,PRICE,NUM_LIST,MULT_LIST,LAT,LONG,NAME
20360336,Entire home/apt,Lexington,15,5,3,1,75,1,No,38.043713,-84.501695,Cozy historical flat! WALK TO RUPP
20521214,Private room,Lexington,3,5,2,1,105,2,Yes,38.090024,-84.444068,Lovely suite minutes from Downtown
20521214,Private room,Lexington,2,0,2,1,95,2,Yes,38.090422,-84.443766,2nd bedroom and fancy bathroom!
20806685,Entire home/apt,Lexington,48,4.5,3,1,65,1,No,38.054071,-84.50432,Private apartment downtown near Rupp/Jefferson St
21203601,Private room,Nicholasville,1,0,3,1,75,2,Yes,37.879468,-84.576441,ENTIRE Upstairs in LARGE/Keeneland
21203601,Private room,Nicholasville,0,0,3,1,200,2,Yes,37.901651,-84.557314,Close to Keeneland
21785020,Entire home/apt,Lexington,100,5,4,0,80,1,No,38.044771,-84.49268,"Downtown/UK, Private, quiet, lovely"
21815192,Entire home/apt,Lexington,16,5,4,2,85,1,No,38.045929,-84.620156,Gentlemen's Farmhouse
21873896,Entire home/apt,Lexington,5,5,4,2,199,1,No,38.050333,-84.488142,Charming Downtown Bungalow
21991626,Private room,Lexington,18,4.5,2,1,39,1,No,38.02077,-84.405784,Mi Casa su Castle.
22006054,Entire home/apt,Lexington,18,4.5,5,2,125,2,Yes,38.048157,-84.50745,Historic Downtown Apartment with Modern Feel
22006054,Entire home/apt,Lexington,11,4.5,5,2,120,2,Yes,38.049696,-84.506894,Awesome Condo in the heart of Downtown
22163536,Entire home/apt,Lexington,2,0,2,1,225,2,Yes,38.05446,-84.502356,Private apartment with courtyard
22163536,Entire home/apt,Lexington,46,5,2,0,75,2,Yes,38.054756,-84.502451,A private downtown retreat
22276456,Entire home/apt,Nicholasville,44,5,5,2,119,1,No,37.895205,-84.635078,Full walk out basement to stay in.
22379322,Entire home/apt,Lexington,6,5,6,3,499,1,No,38.026043,-84.492876,Chevy Chase Bungalow
22417860,Entire home/apt,Lexington,21,5,4,1,95,2,Yes,38.039426,-84.489556,Historic Clay Villa - Apt 1202
22417860,Entire home/apt,Lexington,46,5,4,1,95,2,Yes,38.04054,-84.489493,Historic 1845 Clay Villa Apt 1201
22476167,Private room,Lexington,1,0,2,1,185,1,No,37.996841,-84.502553,Huge King Suite for Keeneland & More
22623214,Entire home/apt,Lexington,8,5,2,1,125,1,No,38.044544,-84.500485,Historic Downtown Lexington Condo
22737636,Entire home/apt,Lexington,6,5,4,2,275,1,No,38.049876,-84.490101,"Downtown Home - UK, Keeneland, Rupp, Horse Park"
23078807,Private room,Lexington,1,0,2,1,90,1,No,38.016257,-84.559276,Private bedroom + bathroom
23152738,Entire home/apt,Lexington,0,0,10,4,1050,1,No,38.050328,-84.489231,Stay downtown during Breeders Cup!
23632493,Entire home/apt,Lexington,75,5,3,1,50,1,No,38.038165,-84.49409,Transylvania Park Private Suite/UK
24297222,Entire home/apt,Lexington,4,4.5,12,6,750,1,No,38.014328,-84.565216,Spacious home near Keeneland
24415854,Entire home/apt,Lexington,10,5,2,1,95,1,No,38.144165,-84.595024,Hillwood Farm Tack House
24550499,Entire home/apt,Lexington,40,4.5,6,2,125,1,No,38.053866,-84.490149,LUXURY DOWNTOWN APARTMENT
24653106,Private room,Lexington,0,0,2,1,40,1,No,37.989688,-84.399268,Private Room- luxurious kitchen
24758407,Entire home/apt,Lexington,16,5,4,1,185,1,No,38.046577,-84.494732,Luxurious Flat in Historic Downtown
24865076,Entire home/apt,Lexington,68,5,2,1,90,1,No,38.041004,-84.494222,Awesome downtown LEX & UK location
24872958,Private room,Lexington,16,4.5,4,1,48,1,No,38.056753,-84.477515,Private bed and bath near Rupp
25258176,Entire home/apt,Lexington,12,5,4,3,106,1,No,38.095465,-84.504535,Condo near Keeneland/Rupp/Horsepark
25270687,Entire home/apt,Lexington,0,0,4,2,500,1,No,37.990908,-84.493996,2 Bedroom Apt for Breeders Cup
25412365,Private room,Lexington,24,5,2,1,75,1,No,38.005646,-84.577042,Country Comfort Close to Town
25497001,Entire home/apt,Lexington,8,5,4,2,189,1,No,38.059843,-84.491394,Modern Guest House - Total Remodel!
25505882,Entire home/apt,Lexington,8,5,2,1,95,1,No,38.029572,-84.489849,New Studio in Trendy Neighborhood Near UK/Downtown
25774580,Entire home/apt,Lexington,0,0,12,5,1450,1,No,38.008041,-84.576759,"5,000 Square Foot Home with Hot tub"
25968111,Entire home/apt,Lexington,4,4.5,4,2,45,2,Yes,38.040502,-84.551019,Cozy 2 bedroom near Keeneland
25968111,Private room,Lexington,2,0,2,1,25,2,Yes,38.041776,-84.55178,Master in a cozy 2 bedroom duplex.
26121886,Entire home/apt,Lexington,0,0,6,3,600,1,No,38.006646,-84.489394,Great Chevy Chase Location
26319724,Entire home/apt,Lexington,0,0,14,6,1200,1,No,38.011776,-84.381655,Lexington Luxury Home - YOLO - You Deserve This!
26701477,Entire home/apt,Nicholasville,60,5,2,1,100,1,No,37.918768,-84.612312,The Grain House
27500389,Entire home/apt,Lexington,0,0,5,2,125,1,No,38.00154,-84.522606,Charming Townhome/Condo 
27911736,Entire home/apt,Lexington,14,4.5,10,4,385,1,No,37.972852,-84.461106,Historic Home with Modern Amenities
28257079,Entire home/apt,Lexington,0,0,3,1,500,1,No,38.045983,-84.501058,Downtown Apartment 1 Bed/1 Bath
28288631,Entire home/apt,Lexington,12,5,8,4,600,4,Yes,38.048,-84.505894,Downtown Home in Historic District
28288631,Entire home/apt,Lexington,31,5,6,2,125,4,Yes,38.04943,-84.507457,Downtown Townhome Near Rupp Arena
28288631,Entire home/apt,Lexington,12,5,6,2,133,4,Yes,38.050233,-84.507257,Cozy Downtown Townhouse
28288631,Entire home/apt,Lexington,19,5,8,3,150,4,Yes,38.050511,-84.507785,Renovated Downtown Townhouse
28458326,Private room,Lexington,4,5,2,1,69,1,No,38.10479,-84.509989,Charming Clean Spacious Quiet home
28572116,Entire home/apt,Lexington,8,5,5,2,275,1,No,38.076825,-84.606023,Horse Farm Cottage near Keeneland
28641741,Entire home/apt,Lexington,4,5,6,3,225,1,No,38.09241,-84.549316,Quiet & Convenient 3 BR/2 BA Home Away from Home
28654243,Entire home/apt,Nicholasville,0,0,3,1,1500,1,No,37.925066,-84.540752,Cabin on Thoroughbred Horse Farm
28869366,Private room,Lexington,0,0,2,1,30,1,No,38.002532,-84.576706,Private guestroom in best and safe school district
29069670,Entire home/apt,Lexington,3,5,4,2,70,1,No,38.064669,-84.518561,"Cozy, cute 2BR townhouse near downtown, businesses"
29069894,Entire home/apt,Lexington,0,0,6,4,650,1,No,38.030669,-84.471558,Featured on House Hunters
29179817,Private room,Wilmore,0,0,2,1,119,3,Yes,37.858654,-84.659252,Newly remodeled with private bath!
29179817,Private room,Wilmore,0,0,2,1,119,3,Yes,37.858852,-84.659884,Newly remodeled! In-room bath!
29179817,Private room,Wilmore,0,0,2,1,119,3,Yes,37.860053,-84.658583,The Ale-8 Room
29345340,Entire home/apt,Nicholasville,0,0,5,1,900,1,No,37.953807,-84.591522,House on 8 1/2 acres - awesome!
29347997,Private room,Lexington,2,0,2,1,99,1,No,38.085985,-84.486786,Quiet quarters near KY Horse Park
29517222,Private room,Lexington,0,0,2,1,259,5,Yes,38.054682,-84.490496,Lyndon House B&B - Bluegrass Suite
29517222,Private room,Lexington,3,5,2,1,199,5,Yes,38.054893,-84.491888,Lyndon House B&B - Headley Room
29517222,Private room,Lexington,0,0,2,1,229,5,Yes,38.055724,-84.49009,Lyndon House B&B-Belle Brezing Room
